user_name,rating,review_date,product_color,product_storage_size,review_content
Gabriela Cedeño,4," September 12, 2022", Starlight   ,128GB,"No vino cargador como decía que venía, lo demás todo bien"
James Hinostroza huayre,4," September 18, 2022", Midnight   ,256GB,La batería no está bueno
Mari & Fam,4," May 5, 2022", Starlight   ,128GB,Only reason I am giving it 4 stars is because it didn’t come with the actual iPhone box it just came in a zip lock bag and did not come with the proper charger it states it would come with and for almost paying retail price I would of really liked to have the box and the actual charger it supposed to come with which is the usb c to lighting cable but yeah apple is skimming  us by not giving us headphones or a charging brick now days they say it’s for the environment but that’s bs only saves them money while the consumer pays extra  will update my review if I have to as I continue using the phone
Chris Hanson,4," August 18, 2022", Midnight   ,128GB,Just know if you buy plug for the wall that this phone comes with the old style cord not the new
Joshua,5," August 12, 2022", Midnight   ,128GB,"Bought this phone In Acceptable condition and hoped for the best and i could not be more satisfied. The phone came with zero scratches, dents or cracks and on top of that i got a free screen protector. Apart from the unoriginal apple box and the minor fact that someone else owned this device, i dont see why anyone would buy a brand new phone for 200 dollars more. The only downside to this purchase was the fact they gave me an iphone 12 mini screen protector instead of the 13 mini one but who cares. Totally Worth My Money!"
Byung Uk Kim,5," October 16, 2022", Blue   ,128GB,Thanks Loreta
Paul Chabot,4," July 8, 2022", Blue   ,128GB,"Can’t really rate much yet, as we just received this product a week ago. But of all the refurbished phones we’ve bought through Amazon this is the only that’s ever come with scratches on the screen. A little disappointed in that."
gtrayler,5," August 29, 2022", Blue   ,256GB,"The phone arrived on time and was like a new one.  No scratches, no problems.  I took the sim from my old phone and put it in the new one and followed along with what popped up.  It worked perfectly.  So I purchased another one for me. This one was for my wife"
krysta g.,5," October 3, 2022", Starlight   ,128GB,Unlocked phone works good came with a screen protector.
Elle,5," March 26, 2022", Blue   ,128GB,"I’ve always purchased my phones new so I was a little leary about ordering a preowned phone, but I am so happy I did! I ordered through the seller HQTRONIC LLC on 3/21 and received it on 3/24 which was way earlier than the expected delivery date of 3/29-4/4.  Upon opening the shipping box, the phone was wrapped in a foam sleeve and there was a new charging cord and plug included.  There was not a single scratch or any knicks on the phone…it looks new!  I was a little concerned as the battery was at 2%, but I charged it up and battery health shows 100%!  I upgraded to this from a 5 year old iPhone 7 which was having issues with the battery and I had to keep it on a charging cord most of the day and I’m so happy that I decided to upgrade.  I’m a very happy customer and the savings on this certified renewed iPhone will practically pay for a full year of my Mint Mobile service!  Thank you HQTRONIC LLC and Amazon!"
Brayden,4," June 26, 2022", Blue   ,128GB,"It was everything I was hoping for and more, everything is working like I’d hoped and the battery is at 100% health. My only issue is with a small delay on the buttons but it’s barely noticeable unless I’m really focusing on it. 10/10 must buy"
CJ Hays,5," August 21, 2022",Pink   ,128GB,Works great! Good solid phone with excellent battery life does what it should no problems. The mini  Size is nice because I can easily control what I’m doing with one hand and it fits in my pocket very nicely. Don’t care for the pink just got a good deal on it and with my Otter Box you can’t tell.
Impartial,5," September 13, 2022", Starlight   ,128GB,Upgraded from iPod touch - which I still have and use. Got this renewed item due to new not being available. Prefer smaller  Size that mini fulfills. Actually bigger than expected. Just right.
Jayden,5," September 25, 2022", Starlight   ,128GB,"Very surprised of the condition of the phone, battery life was at 100%, no scratches or smudges."
Ruth,5," October 7, 2022", Red   ,256GB,
Jessica M,5," September 11, 2022", Blue   ,128GB,I was hesitant on purchasing a refurbished phone as it was my first time. I am pleasantly surprised on what a great deal it was I love my new phone thanks !
Isabel,4," July 1, 2022",Pink   ,128GB,"package does not come with official apple charger or sim card opener !!phone is real tho, i just think they should’ve made them bigger"
Cameron,4," April 8, 2022",Blue   ,128GB,Almost perfect! The body of the phone is in really good condition I don’t see any scratches or scrapes or dents or cracks the only issue with the body I see is there’s some discoloration in the top right corner it looks like the blue was worn off a little bit and is now silver in that one spot I’ve added a photo in the spot everything else with the phone seems to be in really good condition I just wish that discoloration in the top corner wasn’t there
Melanie,5," August 3, 2022", Blue   ,128GB,"If I didn’t know that I’d bought a used phone, I would have thought this was new. The battery is at 100% health, I can’t find any blemishes on the screen or backing, and everything booted up like new. The package even came with a new charging cable and a charging brick. I didn’t need another brick but it’s nice that it was there I guess."
Julie Miller,5," August 12, 2022", Starlight   ,256GB,I liked that it could fit in a pocket easily But I needed my glasses to be able to see it and I just need a little extra space I went to the 13 regular but overall I really like the phone it’s got a lot of features and smooth transitions
Charlene Pint,5," August 12, 2022", Midnight   ,128GB,The mini was smaller than my old IPhone 6.  I thought they were the same  Size.  However I am happy to be able to use all my Apps now!  The old phone did not support a lot of Apps.  Everything set up great and no glitches in getting it activated! Love it!
Salome,5," September 25, 2022", Midnight   ,256GB,"Me llegó en condiciones excelentes, prácticamente nuevo"
SN,5," July 11, 2022", Blue   ,128GB,"I ordered a pre owned iPhone 13 mini. It arrived in 48 hrs after ordering, much quicker than stated by the seller :) This phone was flawless on the exterior. It has always charged to 100% in the 10 days I have been using it. I have been using it. All other features have full functionality. I’m so glad I made this choice. Kudos to the seller and the top notch quality of this iPhone 13 mini!"
Kindle Customer,3," September 26, 2022", Pink   ,128GB,"My face recognition is not available, my battery life was at 91% and at first i could not download any apps that didn’t come with the phone without a credit card. Other than that, the screen and no scratches or cracks and the phone had no dents."
Amazon Customer,5," August 6, 2022", Blue   ,128GB,I needed a new iPhone and I wanted to see if I could save some cash by buying refurbished. The iPhone 13 mini I received was like new no scratches whatsoever. Very pleased. I ended up saving damn near $100 enough to get me a case and screen protector with left over money.
Big pp man,5," September 17, 2022", Midnight   ,128GB,"Zero issues, good service and Great phone condition, I loved it."
McKenna,5," August 31, 2022", Starlight  5 ,12GB,Like new. It’s been working perfectly for a few months now. 100% battery and processor health. Great buy so far.
ketaruh johnson,5," May 16, 2022", Pink   ,128GB,I love my phone  I got the color pink  I order my phone  and come the next day  pacifically  a day early. Which I was surprise  and every happy when I receive  it if u trying to save money just buy it it’s worth the money  it didn’t come with the box which  I didn’t really care for and it didn’t come a SIM card which was okay with I was just happy to have the phone so yes u should buy this
Daniella,5," September 8, 2022", Blue   ,128GB,This iPhone turned out to be everything I expected it to be.
Lee Hill,5," September 9, 2022",Verified Purchase,,"Quick delivery, excellent product condition and great pricing!"
maria,5," August 10, 2022", Pink   ,128GB,"llego 1 dia antes de lo esperado, esteticamente esta bien. reconocimiento facial bien, camara bien, carga rapida, lo que mas me sorprendio fue que tiene 100% de capacidad en la bateria"
Astro boy,5," September 8, 2022", Midnight   ,128GB,Came without box but the ph is in great condition.
TROY SPRIGGS,5," September 9, 2022", Blue   ,128GB,Like new no problems even overseas
maria yong,4," June 5, 2022", Blue   ,128GB,esta bien para ser reparado
Nia Nicole,4," May 9, 2022", Pink   ,128GB,Works like new expect for the fact that the battery dies a little fadt
Desiree,5," July 2, 2022", Blue   ,128GB,"The iPhone I received is flawless, I could not find a single scratch or scuff on the phone. The battery is at 100% life and is basically brand new! I recommend this seller to anyone who wants a used phone at a cut price."
Joe,5," August 20, 2022", Midnight   ,128GB,"Looks like new, battery 100% few cycles, includes an generic cable, everything as described"
Bryan Alexanders,5," July 20, 2022", Midnight   ,128GB,Pagué un buen precio. Me llego con 100% de batería y como nuevo.Los único negativo es que llego con un cargador genérico pero en la página lo anunciaron así que esta bien.
amccants15,5," August 9, 2022", Red   ,128GB,Really outstanding quality other than very minor scratches I covered up with a screen protector it looked brand new
Alicia,5," August 4, 2022", Pink   ,128GB,Such a beautiful phone. Perfect in hand! Lovely colour and great quality phone! Buy it! You won’t regret!
PKG,5," August 6, 2022", Midnight   ,256GB,"The phone is perfect, absolutely no sign of previous use. Would buy from them again."
Janet M Cook,5," July 27, 2022", Blue   ,128GB,The IPhone 13 Mini is perfect for my use.I love it.  Price was very reasonable too.
First Time Customer,3," May 30, 2022",Midnight   ,128GB,"Looks like the iPhone 13 but fails to provide all the bells and whistles of the real phone, I upgraded from an iPhone SE and the face camera picture quality is identical, the phone will sometimes hick up and glitch a little when changing between apps, doesn't come with the iPhone 13 wall papers and settings, did not come with the recent iPhone 12 update.Walks like a iPhone 13, quacks like one, but just isn't the same. I understand this may be how refurbished phones are but I was expecting it to feel more like the actual iPhone 13."
kevin nieto m,5," August 2, 2022", Pink   ,256GB,"Dicen que es ""como nuevo"" pero la realidad es que literalmente está nuevo"
Joe,5," July 17, 2022", Midnight   ,128GB,"Si no supiera que es reacondicionado pasaría por nuevo, excelente celular con un 99% de condición de batería, llegó con un cable lightning"
Min Xu,5," July 30, 2022", Blue   ,128GB,shipping fast and battery health 100%. like new condition. Huge value for cost.
james mcgraw,5," July 27, 2022", Blue   ,128GB,"This iPhone 13 mini arrived in perfect condition. NO scratch’s, 100% battery health."
Eric J.,5," August 11, 2022", Red   ,128GB,I really like my new phone
Juan Zambrano,5," July 30, 2022", Pink   ,128GB,Condición de batería al 100% y esta como nuevo!!!
Jen,5," July 28, 2022", Midnight   ,128GB,Phone comes as advertised. No mayor damages and fully functional.
Kaylee,5," August 7, 2022", Starlight   ,128GB,The battery was 100% healthy
buddy leftwich,5," May 31, 2022", Midnight   ,128GB,"I was a little skeptical about the recent reviews, some of them were bad, and i was worried my Iphone 13 mini would be in Bad condition, but it wasnt! TYSM I LOVE ITT"
Tyler,5," June 2, 2022", Starlight   ,128GB,Phone came today and inspected right out of the box. No scratches or chips. Battery health is at 100% as well! Very happy with the purchase and will update if anything goes awry.
Luis Fernando Castillo,5," August 8, 2022", Blue   ,128GB,Buena compra
Grisha Khachatryan,5," May 2, 2022", Starlight   ,128GB,"The smartphone, taken separately, is in excellent condition. There is no problem.The only downside is that it is not in the original box. The USB cable is also not original. This is a little bad.However, the phone itself is in perfect condition."
Westminster92683,5," May 23, 2022", Red  5 ,12GB,"It looks brand new and battery is still at 100% capacity, no scratch except 2 hair line scratch on the screen but only noticeable when close-up. I installed glass screen protector and its not noticeable anymore."
Muhammad Jahanzeb Khan,5," June 24, 2022", Blue   ,128GB,Great product and battery life is hundred percent. There is a little scratch on screen but is not that prominent
MR.HODGES,5," June 9, 2022", Starlight   ,128GB,I purchased an iPhone mini 13 …shipping was fast …the device was as described… It even came with a cable and a charger..and 100% battery health.
Daniel Garcia,5," June 18, 2022", Midnight   ,128GB,Looks and works like a new iphone! It arrived with original box and cables. Very satisfied with the purchase! No flaws whatsoever 10/10
John Williams,3," March 27, 2022", Blue   ,128GB,"The phone itself is perfectly fine. But the charging cable it comes with is obviously the cheapest one they could get, but it does work. The power brick on the other hand, feels so cheap and has minimal markings on it indicating its safety, that I immediately threw it in the trash and recommend that everyone else does the same. The listing description also says that it comes with a SIM removal tool, which it did not.If you're just here for the phone, and don't care about everything else it comes with, then this thing is great."
Daniel I warum,5," June 10, 2022", Blue   ,128GB,The phone I got had absolutely no scratches and battery capacity was at 100%! The phone was practically brand new for 100 dollars less. 10/10 recommend!
Amazon Customer,5," July 12, 2022", Red   ,128GB,"Easy set up, no problems, good condition. Worth while purchase!"
jessica dillon,5," July 3, 2022", Midnight   ,128GB,a great working iphone. i’m very pleased with the purchase. overall 10/10 to the seller
John,5," March 26, 2022", Blue   ,128GB,I'm not an iPhone user but bought this for my future wife and omg..looks brand new! Can't wait to give it to her in 2month oversea. I hope nothing is wrong since I only turn it on to make sure there's no Crack during shipping. A+ so far until she geeks out on it.
Ryan Sookoo,5," June 16, 2022", Blue   ,256GB,"I love this phone, it looked brand new and works fantastic and shipping was quick!"
Catherine Watts-Floyd,5," July 5, 2022", Blue   ,128GB,Great iPhone I give it 5 ✨
Amazon Customer,5," July 16, 2022",Blue   ,128GB,"Nice, for a good price!"
melanie,5," June 7, 2022", Pink   ,256GB,It came in great shape and I was extremely surprised but extremely satisfied
Michael Gaunt,5," March 24, 2022", Red   ,128GB,This phone came in immaculate condition and has 100% battery life. Also cheaper than brand new. What more could you ask for in a renewed phone? This is my first time buying from amazon renewed. Amazing first impression. I will be back for my next.
jamere walker,5," June 17, 2022", Starlight   ,128GB,"Great product not damages whatsoever, battery life 100%."
S. Chang,5," April 8, 2022", Red   ,256GB,"Was a bit hesitant to buy renewed, but very pleasantly surprised. Phone was in perfect condition, no noticeable blemishes or scratches, battery at 100% capacity, warranty still active per Apple coverage check. Would definitely buy Amazon renewed again."
Connor,5," May 26, 2022", Red   ,128GB,Works like brand new no scratches or visible damage very happy with the cheaper phone
Wilver Garcia,3," July 2, 2022", Midnight   ,128GB,They replaced the original screen with a cheaper version that really contrast poorly compared to the original oled screen
Valeria garcia,3," June 30, 2022", Pink   ,128GB,El cable del cargador no sirve. El teléfono tiene una raya en la pantalla.
Jeffry Escobar,5," April 7, 2022",Pink   ,128GB,"Was surprised when I saw the phone. Basically brand new with no scratches or dents. Battery life isn’t the best ,but that’s a sacrifice I’m willing to make for the  Size"
sahar naeem,5," June 17, 2022", Red   ,128GB,Good phone
Alex M,5," April 14, 2022", Starlight   ,128GB,My girlfriend loves her new iphone it came in perfect condition no scratches or bumps first time buying a renewed phone from amazon and it was worth buying for.
Jackie,2," August 3, 2022", Midnight   ,256GB,"I had this delivered less than 10 mins ago and it arrived scrapped. The top right portion was scrapped as well as a minor one on the bottom right. The charging port and cable are not Apple brand, they are second hand brands. I have submitted my return request and will be expecting my money back. Overall this phone took about a week to get here and couldn’t even use it when it finally did get here. I will create an update if my refund is not returned in a timely manner."
Amazon Customer,5," April 18, 2022", Starlight   ,128GB,Perfect and battery life 100% no dents no scratchPackaging was a lil scruffy but it’s used ❤️❤️
Donald Burchfield,5," April 7, 2022", Blue   ,256GB,"Although my iPhone 13 mini is a renewed product, it looks like new. The battery health is also at 100 percent."
Claire,5," May 26, 2022", Blue   ,128GB,Like new
